gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,playerid,positiongrouptype,jerseynum,team,x,y,visibility,confidence,possessioneventtype,teamattackingdirection,period,teamname
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,10,RCB,5,H,-9.26,-1.448,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,118,LCB,6,H,-13.569,17.800,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,1,CF,9,H,18.595,3.116,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,25,LW,10,H,17.793,24.846,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,1377,RB,12,H,1.935,-19.367,VISIBLE,MEDIUM,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,163,RW,17,H,18.1,-17.559,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,105,AM,19,H,11.438,20.752,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,4677,CM,22,H,3.396,-8.691,VISIBLE,MEDIUM,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,13968,GK,1,A,40.433,1.623,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,13976,RWB,2,A,18.982,25.618,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,13971,LW,3,A,5.221,-6.625,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,13975,LWB,5,A,18.745,-11.996,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,457,RW,7,A,2.268,29.296,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,13977,RCB,8,A,-2.169,14.151,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,8561,CF,9,A,2.307,5.130,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,13970,MCB,15,A,19.424,9.185,ESTIMATED,LOW,PA,R,1,England
